"Região","UF","IBGE","Município","População*","Domicílios com a TRIA aplicada","Domicílios em risco de insegurança alimentar","% Domicílios em risco de insegurança alimentar","Pessoas em domicílios em risco de insegurança alimentar","Domicílios em risco de insegurança alimentar com pessoas com deficiência","% de domicílios em risco de insegurança alimentar com pessoas com deficiência","Domicílios em risco de insegurança alimentar com pessoas em situação de rua","% de domicílios em risco de insegurança alimentar com pessoas em situação de rua","Domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","% de domicílios em risco de insegurança alimentar com pessoas de povo ou comunidade tradicional","Domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","% de domicílios em risco de insegurança alimentar com pessoas menores de 18 anos","Domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo feminino","Domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","% de domicílios em risco de insegurança alimentar com RF respondente do sexo masculino","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado pardo","% de domicílios com RF respondente autodeclarado pardo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado branco","% de domicílios com RF respondente autodeclarado branco","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado amarelo","% de domicílios com RF respondente autodeclarado amarelo","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado preto","% de domicílios com RF respondente autodeclarado preto","Domicílios em risco de insegurança alimentar com RF respondente autodeclarado indígena","% de domicílios com RF respondente autodeclarado indígena","Competência"
"NORTE","AM","130100","CARAUARI","31130","7067","1167","16.5","4920","204","17.5","0","0","275","23.6","880","75.4","664","65.2","354","34.8","891","87.5","79","7.8","6","0.6","42","4.1","1","0.1","nov/2023 a abr/2026"
"NORTE","AM","130110","CAREIRO","32336","8312","2872","34.6","10241","372","13","4","0.1","635","22.1","1703","59.3","1619","64.2","902","35.8","2213","87.8","174","6.9","23","0.9","95","3.8","16","0.6","nov/2023 a abr/2026"
"NORTE","AM","130115","CAREIRO DA VARZEA","20324","4744","636","13.4","2313","67","10.5","0","0","310","48.7","420","66","258","45.2","313","54.8","456","79.9","11","1.9","0","0","7","1.2","97","17","nov/2023 a abr/2026"
"NORTE","AM","130120","COARI","73576","19625","2254","11.5","9233","274","12.2","3","0.1","165","7.3","1527","67.7","853","48.5","907","51.5","1411","80.2","43","2.4","1","0.1","37","2.1","270","15.3","nov/2023 a abr/2026"
"NORTE","AM","130130","CODAJAS","24572","6172","673","10.9","2691","80","11.9","0","0","193","28.7","430","63.9","323","57","244","43","541","95.4","17","3","1","0.2","8","1.4","0","0","nov/2023 a abr/2026"
"NORTE","AM","130140","EIRUNEPE","35793","8502","1827","21.5","8478","166","9.1","2","0.1","20","1.1","1385","75.8","955","64.6","524","35.4","1392","94.1","49","3.3","2","0.1","34","2.3","2","0.1","nov/2023 a abr/2026"
"NORTE","AM","130150","ENVIRA","17985","4259","1548","36.3","6316","171","11","0","0","355","22.9","1110","71.7","991","72.4","377","27.6","1201","87.8","147","10.7","0","0","13","1","7","0.5","nov/2023 a abr/2026"
"NORTE","AM","130160","FONTE BOA","28227","1503","365","24.3","1520","15","4.1","1","0.3","2","0.5","244","66.8","219","62","134","38","304","86.1","3","0.8","39","11","7","2","0","0","nov/2023 a abr/2026"
"NORTE","AM","130165","GUAJARA","14344","2635","782","29.7","3023","45","5.8","2","0.3","4","0.5","566","72.4","345","51.1","330","48.9","609","90.2","28","4.1","5","0.7","31","4.6","2","0.3","nov/2023 a abr/2026"
"NORTE","AM","130170","HUMAITA","63454","16427","1344","8.2","5332","181","13.5","1","0.1","488","36.3","909","67.6","709","62.2","430","37.8","983","86.3","79","6.9","18","1.6","51","4.5","8","0.7","nov/2023 a abr/2026"
"NORTE","AM","130180","IPIXUNA","25629","3802","966","25.4","3878","97","10","0","0","9","0.9","702","72.7","497","56.7","379","43.3","769","87.8","57","6.5","9","1","38","4.3","3","0.3","nov/2023 a abr/2026"
"NORTE","AM","130185","IRANDUBA","68862","19115","2354","12.3","9645","304","12.9","32","1.4","182","7.7","1542","65.5","1448","73.1","534","26.9","1837","92.7","72","3.6","28","1.4","33","1.7","12","0.6","nov/2023 a abr/2026"
"NORTE","AM","130190","ITACOATIARA","113917","30885","4848","15.7","20108","615","12.7","4","0.1","1179","24.3","3142","64.8","2826","67.9","1337","32.1","3997","96","83","2","29","0.7","18","0.4","36","0.9","nov/2023 a abr/2026"
"NORTE","AM","130195","ITAMARATI","11956","1729","197","11.4","835","21","10.7","0","0","0","0","144","73.1","128","68.4","59","31.6","172","92","14","7.5","1","0.5","0","0","0","0","nov/2023 a abr/2026"
"NORTE","AM","130200","ITAPIRANGA","10955","2819","1076","38.2","3916","104","9.7","0","0","132","12.3","665","61.8","722","74.3","250","25.7","930","95.7","9","0.9","33","3.4","0","0","0","0","nov/2023 a abr/2026"
"NORTE","AM","130210","JAPURA","9420","1909","137","7.2","605","13","9.5","0","0","3","2.2","103","75.2","61","49.2","63","50.8","116","93.5","3","2.4","0","0","0","0","5","4","nov/2023 a abr/2026"
"NORTE","AM","130220","JURUA","11093","1610","218","13.5","877","38","17.4","0","0","8","3.7","150","68.8","105","57.1","79","42.9","154","83.7","11","6","10","5.4","5","2.7","4","2.2","nov/2023 a abr/2026"
"NORTE","AM","130230","JUTAI","28202","2634","220","8.4","957","20","9.1","0","0","5","2.3","161","73.2","126","64.9","68","35.1","175","90.2","4","2.1","1","0.5","1","0.5","13","6.7","nov/2023 a abr/2026"
"NORTE","AM","130240","LABREA","49469","7682","779","10.1","3555","141","18.1","0","0","15","1.9","565","72.5","519","74.4","179","25.6","623","89.3","19","2.7","0","0","2","0.3","54","7.7","nov/2023 a abr/2026"
"NORTE","AM","130250","MANACAPURU","111751","23046","4324","18.8","17208","614","14.2","2","0","553","12.8","2917","67.5","2439","67","1201","33","3475","95.5","107","2.9","12","0.3","32","0.9","14","0.4","nov/2023 a abr/2026"
"NORTE","AM","130255","MANAQUIRI","16211","5908","1908","32.3","6351","200","10.5","0","0","107","5.6","1068","56","955","57.4","709","42.6","1511","90.8","60","3.6","39","2.3","22","1.3","32","1.9","nov/2023 a abr/2026"
"NORTE","AM","130260","MANAUS","2303732","297487","49845","16.8","169814","5016","10.1","218","0.4","1849","3.7","26111","52.4","31977","72.8","11932","27.2","37238","84.8","3098","7.1","2259","5.1","587","1.3","730","1.7","nov/2023 a abr/2026"
"NORTE","AM","130270","MANICORE","58018","12834","955","7.4","3940","137","14.3","3","0.3","234","24.5","671","70.3","565","66.5","285","33.5","773","90.9","46","5.4","8","0.9","7","0.8","16","1.9","nov/2023 a abr/2026"
